연번,시도,시군구,읍면동,우편번호,주소,위도,경도
67,서울,광진구,중곡제2동,4927,서울특별시 광진구 능동로 346,37.5602505,127.0814843
68,서울,광진구,중곡제3동,4935,서울특별시 광진구 용마산로 117,37.5640442,127.08657
69,서울,광진구,중곡제4동,4944,서울특별시 광진구 긴고랑로 131,37.5590962,127.0894263
70,서울,광진구,능동,4989,서울특별시 광진구 천호대로112길 55,37.5537658,127.0805496
71,서울,광진구,구의제1동,5038,서울특별시 광진구 광나루로36길 56,37.5424342,127.0856919
72,서울,광진구,구의제2동,4979,서울특별시 광진구 천호대로136길 55,37.5479175,127.0906564
73,서울,광진구,구의제3동,5047,서울특별시 광진구 강변역로 17,37.5380043,127.0919649
74,서울,광진구,광장동,4968,서울특별시 광진구 광장로 52,37.5468598,127.1030947
75,서울,광진구,자양제1동,5058,서울특별시 광진구 자양로13길 37,37.53452,127.0824025
76,서울,광진구,자양제2동,5106,서울특별시 광진구 자양로3가길 26,37.5288513,127.084505
77,서울,광진구,자양제3동,5091,서울특별시 광진구 뚝섬로 568,37.5338049,127.0728563
78,서울,광진구,자양제4동,5084,서울특별시 광진구 뚝섬로26길 58,37.5341158,127.0662593
79,서울,광진구,화양동,5010,서울특별시 광진구 능동로17길 39,37.5465432,127.0713406
80,서울,광진구,군자동,4995,서울특별시 광진구 면목로13,37.5555338,127.0754533
81,서울,동대문구,용신동,2567,서울특별시 동대문구 천호대로27길 35,37.5758235,127.0372517
82,서울,동대문구,제기동,2478,서울특별시 동대문구 약령시로 71,37.5831269,127.0378121
83,서울,동대문구,전농제1동,2558,서울특별시 동대문구 서울시립대로9길21,37.5779813,127.0477047
84,서울,동대문구,전농제2동,2507,서울특별시 동대문구 사가정로 137,37.5781011,127.0599823
85,서울,동대문구,답십리제1동,2601,서울특별시 동대문구 사가정로 30,37.57183,127.0512699
86,서울,동대문구,답십리제2동,2616,서울특별시 동대문구 한천로11길 18,37.5674215,127.0613269
87,서울,동대문구,장안제1동,2628,서울특별시 동대문구 한천로18길 52,37.5678069,127.0665062
88,서울,동대문구,장안제2동,2526,서울특별시 동대문구 사가정로 230-1,37.5785166,127.070584
89,서울,동대문구,청량리동,2489,서울특별시 동대문구 왕산로 239 4층,37.5807737,127.0397395
90,서울,동대문구,회기동,2452,서울특별시 동대문구 회기로25길 12-1,37.5907842,127.0551654
91,서울,동대문구,휘경제1동,2433,서울특별시 동대문구 외대역동로6길 3,37.5929434,127.0657327
92,서울,동대문구,휘경제2동,2502,서울특별시 동대문구 한천로 329,37.5900929,127.0685914
93,서울,동대문구,이문제1동,2426,서울특별시 동대문구 외대역동로 114-1,37.5977979,127.0654844
94,서울,동대문구,이문제2동,2409,서울특별시 동대문구 신이문로 27-5,37.6033189,127.0650367
95,서울,중랑구,면목본동 ,2219,서울특별시 중랑구 면목로 397,37.5873591,127.0875602
96,서울,중랑구,면목제2동 ,2130,서울특별시 중랑구 동일로101길 20-15,37.5897251,127.0790228
97,서울,중랑구,면목제38동 ,2221,서울특별시 중랑구 사가정로51길 48,37.5830144,127.0880546
98,서울,중랑구,면목제4동 ,2254,서울특별시 중랑구 면목로 246,37.5747311,127.0855
99,서울,중랑구,면목제5동 ,2231,서울특별시 중랑구 동일로 619,37.5857538,127.0794729
